Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
24 or above,Prefer not to say,Yes,Scenes from a Marriage,More than 3 times,Within last 1 month,4,5,4,4,5,4,5,3,5,4,4.4,4.2
24 or above,Female,Yes,Out of Africa,1 time,1–6 months ago,5,5,4,5,4,4,4,5,5,4,4.6,4.4
21–23,Female,Yes,Moonlight,1 time,More than 6 months ago,4,5,5,5,4,4,4,4,3,4,4.6,3.8
Under 18,Prefer not to say,Yes,Song of the Sea,More than 3 times,Within last 1 month,3,3,4,4,5,4,3,4,3,4,3.8,3.6
21–23,Female,Yes,Hachi A Dog's Tale,1 time,1–6 months ago,2,2,2,4,3,2,3,3,3,3,2.6,2.8
21–23,Male,Yes,A Ghost Story,More than 3 times,1–6 months ago,4,4,4,4,5,4,4,2,2,5,4.2,3.4
18–20,Male,Yes,Avengers Infinity War,2–3 times,1–6 months ago,4,4,5,5,3,4,3,3,4,4,4.2,3.6
24 or above,Male,Yes,Glory,2–3 times,1–6 months ago,1,3,3,2,2,2,2,3,2,3,2.2,2.4
24 or above,Female,Yes,Ordinary People,1 time,1–6 months ago,3,1,2,3,4,4,3,3,1,5,2.6,3.2
21–23,Male,Yes,La La Land,2–3 times,1–6 months ago,4,4,5,5,5,4,4,5,4,4,4.6,4.2
21–23,Female,Yes,Parasite,2–3 times,Within last 1 month,4,2,4,4,2,3,5,3,4,5,3.2,4.0
24 or above,Female,Yes,About Time,2–3 times,Within last 1 month,3,4,3,2,3,3,2,1,3,3,3.0,2.4
Under 18,Male,Yes,Treasure Planet,2–3 times,1–6 months ago,4,4,4,4,5,3,5,5,3,4,4.2,4.0
24 or above,Prefer not to say,Yes,A Little Life,2–3 times,1–6 months ago,3,5,3,4,3,5,3,3,5,3,3.6,3.8
Under 18,Female,Yes,Tangled,1 time,1–6 months ago,4,5,4,4,5,4,5,5,5,4,4.4,4.6
21–23,Female,Yes,Dead Poets Society,1 time,More than 6 months ago,4,4,4,4,5,4,4,3,4,4,4.2,3.8
21–23,Female,Yes,The Pianist,2–3 times,More than 6 months ago,2,4,4,4,3,3,4,3,4,3,3.4,3.4
Under 18,Female,Yes,Song of the Sea,More than 3 times,Within last 1 month,3,4,3,3,4,3,4,3,3,3,3.4,3.2
21–23,Prefer not to say,Yes,Wild,2–3 times,1–6 months ago,5,4,5,5,4,3,4,3,4,4,4.6,3.6
18–20,Female,Yes,The Notebook,2–3 times,1–6 months ago,3,4,4,3,3,4,4,3,4,4,3.4,3.8
24 or above,Female,Yes,Notting Hill,More than 3 times,More than 6 months ago,4,2,4,4,5,4,4,3,5,4,3.8,4.0
Under 18,Male,Yes,Moana,More than 3 times,Within last 1 month,2,4,2,3,3,2,3,4,3,1,2.8,2.6
18–20,Male,Yes,Avengers Endgame,2–3 times,More than 6 months ago,3,4,3,3,4,4,4,4,5,2,3.4,3.8
21–23,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,1–6 months ago,4,5,4,4,4,3,5,5,4,5,4.2,4.4
21–23,Female,Yes,Incendies,More than 3 times,Within last 1 month,4,5,3,5,5,5,4,4,3,3,4.4,3.8
24 or above,Female,Yes,Past Lives,More than 3 times,1–6 months ago,1,3,3,2,3,2,3,2,3,2,2.4,2.4
21–23,Male,Yes,The Imitation Game,More than 3 times,1–6 months ago,3,2,3,4,3,5,4,4,4,3,3.0,4.0
24 or above,Female,Yes,The King's Speech,2–3 times,1–6 months ago,3,3,3,3,5,2,4,2,2,3,3.4,2.6
21–23,Female,Yes,Amour,1 time,1–6 months ago,4,4,2,4,4,2,3,3,4,2,3.6,2.8
21–23,Female,Yes,The Social Network,More than 3 times,Within last 1 month,3,2,3,2,2,3,3,2,3,3,2.4,2.8
21–23,Female,Yes,The Lives of Others,2–3 times,1–6 months ago,4,3,5,5,5,4,5,4,4,4,4.4,4.2
21–23,Male,Yes,The Shawshank Redemption,1 time,1–6 months ago,5,4,4,5,3,5,4,5,3,4,4.2,4.2
24 or above,Female,Yes,Good Will Hunting,2–3 times,1–6 months ago,3,4,4,3,5,1,1,2,3,1,3.8,1.6
24 or above,Prefer not to say,Yes,The Zone of Interest,1 time,Within last 1 month,4,4,5,5,4,3,5,4,3,5,4.4,4.0
24 or above,Female,Yes,Incendies,More than 3 times,More than 6 months ago,3,5,4,5,5,4,4,4,5,5,4.4,4.4
18–20,Female,Yes,The Hunger Games,1 time,More than 6 months ago,5,4,4,5,4,3,5,4,4,4,4.4,4.0
21–23,Male,Yes,Nightcrawler,1 time,More than 6 months ago,2,3,2,3,3,2,3,2,2,2,2.6,2.2
21–23,Female,Yes,Pan's Labyrinth,2–3 times,Within last 1 month,3,3,2,5,3,3,2,3,4,3,3.2,3.0
Under 18,Female,Yes,Matilda,2–3 times,1–6 months ago,3,3,4,3,2,4,4,3,4,4,3.0,3.8
24 or above,Male,Yes,Cries and Whispers,2–3 times,1–6 months ago,2,2,1,1,4,3,2,2,1,2,2.0,2.0
24 or above,Male,Yes,The Father,2–3 times,Within last 1 month,3,4,5,5,4,2,3,4,4,3,4.2,3.2
24 or above,Male,Yes,The Green Mile,More than 3 times,Within last 1 month,5,5,5,5,5,4,5,4,5,3,5.0,4.2
24 or above,Male,Yes,Ordinary People,1 time,1–6 months ago,4,3,5,4,3,1,3,2,3,2,3.8,2.2
21–23,Female,Yes,Spirited Away,2–3 times,More than 6 months ago,5,4,5,5,4,4,5,5,4,5,4.6,4.6
18–20,Prefer not to say,Yes,The Shawshank Redemption,1 time,More than 6 months ago,4,5,3,5,5,2,4,3,4,3,4.4,3.2
24 or above,Prefer not to say,Yes,Life is Beautiful,1 time,More than 6 months ago,4,4,3,3,5,4,4,3,3,3,3.8,3.4
21–23,Male,Yes,Little Women,2–3 times,1–6 months ago,3,3,2,2,2,2,2,3,2,2,2.4,2.2
21–23,Prefer not to say,Yes,Portrait of a Lady on Fire,1 time,1–6 months ago,3,2,4,4,4,2,2,3,3,1,3.4,2.2
21–23,Female,Yes,Before Midnight,2–3 times,Within last 1 month,4,4,2,5,3,3,4,3,3,3,3.6,3.2
18–20,Male,Yes,La La Land,1 time,1–6 months ago,3,2,2,4,4,4,2,4,4,4,3.0,3.6
Under 18,Male,Yes,Mirai,More than 3 times,1–6 months ago,3,5,4,5,3,3,3,4,4,3,4.0,3.4
21–23,Female,Yes,Aftersun,1 time,1–6 months ago,4,4,4,4,4,5,3,4,4,4,4.0,4.0
21–23,Female,Yes,Room,More than 3 times,1–6 months ago,4,5,3,5,4,5,4,4,5,3,4.2,4.2
18–20,Female,Yes,About Time,More than 3 times,1–6 months ago,1,1,1,1,1,1,2,1,2,1,1.0,1.4
21–23,Female,Yes,Minari,2–3 times,Within last 1 month,3,3,3,3,2,3,2,2,3,3,2.8,2.6
18–20,Prefer not to say,Yes,The Half of It,More than 3 times,1–6 months ago,3,3,2,3,3,4,3,4,3,3,2.8,3.4
18–20,Female,Yes,Moonlight,1 time,More than 6 months ago,4,4,4,3,4,5,4,4,3,4,3.8,4.0
21–23,Female,Yes,Life is Beautiful,1 time,More than 6 months ago,3,3,4,4,4,4,4,4,3,3,3.6,3.6
18–20,Prefer not to say,Yes,La La Land,1 time,More than 6 months ago,3,3,2,3,3,2,3,3,3,2,2.8,2.6
21–23,Male,Yes,The Social Network,More than 3 times,1–6 months ago,4,3,4,4,3,3,4,3,3,3,3.6,3.2
24 or above,Female,Yes,Schindler's List,More than 3 times,More than 6 months ago,4,4,4,4,5,3,5,5,4,5,4.2,4.4
24 or above,Male,Yes,The Diving Bell and the Butterfly,1 time,More than 6 months ago,5,5,5,5,5,5,5,4,5,4,5.0,4.6
24 or above,Male,Yes,The Way We Were,More than 3 times,More than 6 months ago,1,1,3,1,2,3,2,2,2,1,1.6,2.0
18–20,Male,Yes,Joker,1 time,More than 6 months ago,2,2,3,3,3,2,1,2,4,3,2.6,2.4
21–23,Male,Yes,Manchester by the Sea,2–3 times,Within last 1 month,5,5,4,4,3,4,5,3,5,4,4.2,4.2
24 or above,Female,Yes,Brief Encounter,More than 3 times,More than 6 months ago,3,3,4,3,4,4,3,4,3,3,3.4,3.4
18–20,Female,Yes,The Shawshank Redemption,1 time,1–6 months ago,5,4,4,2,3,3,2,2,2,2,3.6,2.2
21–23,Female,Yes,Little Women,1 time,1–6 months ago,4,5,4,4,4,3,3,5,5,4,4.2,4.0
18–20,Female,Yes,Pride and Prejudice,1 time,1–6 months ago,2,2,1,2,1,2,1,1,2,1,1.6,1.4
21–23,Female,Yes,No Country for Old Men,1 time,1–6 months ago,4,4,4,5,4,4,4,3,4,4,4.2,3.8
21–23,Female,Yes,Wild,2–3 times,1–6 months ago,5,4,3,5,4,4,3,5,4,5,4.2,4.2
Under 18,Female,Yes,Kung Fu Panda,2–3 times,More than 6 months ago,4,5,4,5,5,3,3,3,3,3,4.6,3.0
24 or above,Prefer not to say,Yes,Fried Green Tomatoes,2–3 times,More than 6 months ago,4,4,3,3,4,4,4,3,3,4,3.6,3.6
24 or above,Male,Yes,The Elephant Man,2–3 times,More than 6 months ago,4,4,4,5,5,3,5,5,4,4,4.4,4.2
21–23,Male,Yes,Like Father Like Son,1 time,1–6 months ago,4,4,4,4,4,4,4,4,3,3,4.0,3.6
24 or above,Female,Yes,Belfast,More than 3 times,1–6 months ago,4,4,4,5,4,4,3,3,4,3,4.2,3.4
Under 18,Male,Yes,The Princess and the Frog,More than 3 times,Within last 1 month,3,2,5,5,5,3,3,5,5,3,4.0,3.8
21–23,Female,Yes,Atonement,1 time,1–6 months ago,4,4,5,4,5,4,4,5,5,5,4.4,4.6
21–23,Male,Yes,Nobody Knows,1 time,Within last 1 month,4,5,4,5,4,3,3,4,5,4,4.4,3.8
21–23,Female,Yes,Interstellar,2–3 times,1–6 months ago,5,4,4,5,4,4,4,4,5,4,4.4,4.2
Under 18,Female,Yes,Frozen,More than 3 times,1–6 months ago,4,5,5,5,5,5,5,4,4,5,4.8,4.6
24 or above,Female,Yes,The Remains of the Day,1 time,1–6 months ago,1,2,4,3,3,2,3,2,2,2,2.6,2.2
24 or above,Male,Yes,Incendies,More than 3 times,1–6 months ago,4,5,4,5,5,5,5,3,3,3,4.6,3.8
21–23,Female,Yes,Dead Poets Society,More than 3 times,Within last 1 month,3,4,4,4,4,4,5,4,5,3,3.8,4.2
Under 18,Male,Yes,Mulan,More than 3 times,Within last 1 month,3,3,1,3,1,2,1,2,1,3,2.2,1.8
24 or above,Female,Yes,The Year of Magical Thinking,More than 3 times,More than 6 months ago,1,3,3,2,2,2,4,2,2,1,2.2,2.2
24 or above,Female,Yes,Gone with the Wind,1 time,More than 6 months ago,5,4,4,4,3,5,4,4,4,4,4.0,4.2
24 or above,Female,Yes,A Separation,More than 3 times,1–6 months ago,3,4,3,5,3,5,3,4,4,4,3.6,4.0
Under 18,Female,Yes,Tangled,More than 3 times,1–6 months ago,5,4,3,3,3,2,5,5,5,5,3.6,4.4
Under 18,Male,Yes,Luca,More than 3 times,1–6 months ago,5,5,5,5,4,5,5,5,4,4,4.8,4.6
21–23,Male,Yes,First Reformed,2–3 times,Within last 1 month,4,2,3,3,4,4,5,2,3,3,3.2,3.4
21–23,Male,Yes,Moonlight,2–3 times,More than 6 months ago,2,2,2,2,2,1,1,3,2,2,2.0,1.8
Under 18,Female,Yes,The Wind Rises,1 time,Within last 1 month,4,3,3,4,4,4,4,3,3,3,3.6,3.4
Under 18,Female,Yes,When Marnie Was There,More than 3 times,Within last 1 month,3,4,5,4,3,2,4,5,3,3,3.8,3.4
24 or above,Male,Yes,The Notebook,1 time,Within last 1 month,2,2,1,2,2,1,1,2,2,3,1.8,1.8
21–23,Female,Yes,Shoplifters,More than 3 times,1–6 months ago,3,5,4,4,5,4,3,4,5,4,4.2,4.0
21–23,Male,Yes,A Beautiful Mind,1 time,More than 6 months ago,5,5,5,5,5,4,5,4,4,4,5.0,4.2
24 or above,Female,Yes,Sense and Sensibility,2–3 times,1–6 months ago,2,3,3,4,4,3,3,3,3,3,3.2,3.0
24 or above,Female,Yes,The Piano,2–3 times,1–6 months ago,2,3,2,3,3,2,2,1,3,4,2.6,2.4
24 or above,Female,Yes,The Color Purple,1 time,More than 6 months ago,1,2,3,2,3,2,3,1,1,2,2.2,1.8
18–20,Prefer not to say,Yes,Avengers Infinity War,2–3 times,Within last 1 month,3,3,2,4,4,3,2,4,4,3,3.2,3.2
18–20,Male,Yes,Forrest Gump,1 time,More than 6 months ago,5,4,5,4,3,4,4,3,3,5,4.2,3.8
24 or above,Female,Yes,Glory,More than 3 times,1–6 months ago,2,3,3,1,3,2,2,2,1,1,2.4,1.6
18–20,Female,Yes,La La Land,2–3 times,Within last 1 month,3,4,4,5,4,4,3,3,5,4,4.0,3.8
Under 18,Female,Yes,Howl's Moving Castle,2–3 times,1–6 months ago,5,4,5,5,4,5,4,5,5,3,4.6,4.4
24 or above,Female,Yes,1917,1 time,1–6 months ago,4,4,4,5,3,4,2,3,4,5,4.0,3.6
Under 18,Female,Yes,The Princess and the Frog,More than 3 times,Within last 1 month,4,5,5,5,5,2,4,4,4,4,4.8,3.6
24 or above,Female,Yes,Saving Private Ryan,1 time,More than 6 months ago,5,5,4,5,4,5,5,4,5,5,4.6,4.8
24 or above,Male,Yes,Ordinary People,2–3 times,More than 6 months ago,2,3,1,3,3,2,4,4,4,4,2.4,3.6
18–20,Female,Yes,The Notebook,1 time,Within last 1 month,2,3,2,3,4,2,2,2,2,3,2.8,2.2
18–20,Male,Yes,The Edge of Seventeen,2–3 times,Within last 1 month,5,4,5,5,4,4,4,4,4,4,4.6,4.0
18–20,Female,Yes,The Spectacular Now,1 time,Within last 1 month,4,3,4,5,5,3,4,3,3,4,4.2,3.4
18–20,Male,Yes,To All the Boys I've Loved Before,2–3 times,1–6 months ago,2,3,4,4,4,3,5,5,4,4,3.4,4.2
24 or above,Female,Yes,Life is Beautiful,1 time,Within last 1 month,2,3,1,2,1,1,1,2,3,2,1.8,1.8
24 or above,Male,Yes,The Notebook,1 time,Within last 1 month,3,3,2,2,3,3,5,4,3,2,2.6,3.4
21–23,Female,Yes,Aftersun,1 time,More than 6 months ago,3,5,3,3,4,4,3,5,1,3,3.6,3.2
24 or above,Prefer not to say,Yes,1917,1 time,More than 6 months ago,3,3,3,4,3,3,5,4,3,1,3.2,3.2
Under 18,Male,Yes,Arrietty,2–3 times,Within last 1 month,4,2,2,3,3,3,2,1,2,2,2.8,2.0
21–23,Female,Yes,Still Walking,More than 3 times,1–6 months ago,2,4,4,3,2,3,2,3,3,3,3.0,2.8
18–20,Female,Yes,Parasite,More than 3 times,1–6 months ago,3,5,4,3,4,3,3,3,3,4,3.8,3.2
21–23,Female,Yes,Your Name,2–3 times,Within last 1 month,5,5,5,4,4,5,4,3,5,4,4.6,4.2
Under 18,Male,Yes,When Marnie Was There,2–3 times,1–6 months ago,2,4,2,3,3,4,5,3,3,2,2.8,3.4
18–20,Female,Yes,Call Me by Your Name,2–3 times,More than 6 months ago,4,5,5,2,4,4,4,4,3,2,4.0,3.4
24 or above,Male,Yes,Away from Her,1 time,Within last 1 month,3,3,3,4,1,2,3,5,5,4,2.8,3.8
21–23,Female,Yes,Decision to Leave,1 time,More than 6 months ago,3,4,5,3,3,4,3,3,4,4,3.6,3.6
18–20,Female,Yes,A Walk to Remember,2–3 times,1–6 months ago,4,5,4,4,5,5,4,3,3,4,4.4,3.8
18–20,Female,Yes,Little Women,1 time,1–6 months ago,5,4,5,3,5,4,4,3,2,4,4.4,3.4
18–20,Female,Yes,Five Feet Apart,2–3 times,1–6 months ago,2,2,4,5,2,3,2,1,2,3,3.0,2.2
21–23,Male,Yes,Dead Poets Society,More than 3 times,Within last 1 month,5,4,3,5,5,4,2,4,2,4,4.4,3.2
18–20,Female,Yes,Bring It On,1 time,More than 6 months ago,5,5,4,4,5,5,4,5,4,5,4.6,4.6
24 or above,Female,Yes,Past Lives,2–3 times,1–6 months ago,4,3,3,3,3,3,4,3,3,4,3.2,3.4
21–23,Female,Yes,Interstellar,1 time,Within last 1 month,5,4,4,4,4,5,4,3,5,4,4.2,4.2
24 or above,Male,Yes,The Father,1 time,Within last 1 month,4,4,3,3,3,5,4,4,4,3,3.4,4.0
18–20,Prefer not to say,Yes,The Dark Knight,More than 3 times,More than 6 months ago,4,5,4,4,5,4,5,4,5,4,4.4,4.4
21–23,Female,Yes,Wild,More than 3 times,Within last 1 month,4,3,3,4,5,3,5,3,4,3,3.8,3.6
21–23,Male,Yes,Bohemian Rhapsody,1 time,1–6 months ago,5,5,5,5,5,5,5,5,3,4,5.0,4.4
24 or above,Male,Yes,Capernaum,2–3 times,Within last 1 month,5,4,4,5,3,5,4,5,5,5,4.2,4.8
21–23,Female,Yes,Drive My Car,1 time,1–6 months ago,3,2,2,2,2,3,4,3,2,3,2.2,3.0
Under 18,Male,Yes,Toy Story 4,More than 3 times,Within last 1 month,5,4,3,3,5,4,4,5,5,4,4.0,4.4
Under 18,Male,Yes,Brave,1 time,Within last 1 month,4,4,2,4,5,3,3,3,4,4,3.8,3.4
21–23,Female,Yes,Beasts of No Nation,2–3 times,More than 6 months ago,1,1,1,1,1,1,1,2,2,2,1.0,1.6
21–23,Male,Yes,Grave of the Fireflies,2–3 times,1–6 months ago,2,1,3,2,1,2,2,2,3,2,1.8,2.2
24 or above,Female,Yes,Steel Magnolias,1 time,More than 6 months ago,4,3,5,4,5,4,4,4,5,4,4.2,4.2
21–23,Female,Yes,Brooklyn,More than 3 times,Within last 1 month,5,4,5,4,4,4,4,3,2,4,4.4,3.4
21–23,Female,Yes,Shoplifters,2–3 times,1–6 months ago,3,5,2,3,4,4,2,3,4,3,3.4,3.2
21–23,Female,Yes,A Separation,2–3 times,1–6 months ago,4,3,3,4,4,5,4,3,5,3,3.6,4.0
24 or above,Male,Yes,Rain Man,2–3 times,1–6 months ago,1,1,1,2,1,1,3,1,2,1,1.2,1.6
21–23,Female,Yes,The Imitation Game,2–3 times,1–6 months ago,5,3,5,5,5,5,3,5,4,3,4.6,4.0
18–20,Prefer not to say,Yes,The Dark Knight,1 time,1–6 months ago,2,5,5,4,3,3,3,3,4,3,3.8,3.2
24 or above,Female,Yes,An Affair to Remember,2–3 times,1–6 months ago,3,3,3,3,2,4,2,3,3,2,2.8,2.8
21–23,Female,Yes,Brooklyn,More than 3 times,1–6 months ago,5,3,4,4,5,4,3,5,5,3,4.2,4.0
24 or above,Female,Yes,Out of Africa,1 time,More than 6 months ago,2,1,3,2,3,2,2,1,1,2,2.2,1.6
Under 18,Male,Yes,Big Hero 6,2–3 times,1–6 months ago,3,4,3,3,2,3,4,4,4,3,3.0,3.6
24 or above,Male,Yes,The Shawshank Redemption,2–3 times,More than 6 months ago,4,3,3,4,4,2,2,4,4,3,3.6,3.0
21–23,Female,Yes,Your Name,2–3 times,Within last 1 month,3,3,4,3,5,3,3,4,1,3,3.6,2.8
21–23,Female,Yes,Forrest Gump,2–3 times,1–6 months ago,4,4,4,5,5,3,5,3,5,5,4.4,4.2
18–20,Male,Yes,Little Women,1 time,Within last 1 month,5,5,2,5,5,5,5,5,5,5,4.4,5.0
24 or above,Female,Yes,Cast Away,1 time,Within last 1 month,3,3,4,4,4,3,3,5,3,4,3.6,3.6
21–23,Male,Yes,Beasts of No Nation,1 time,1–6 months ago,3,3,3,2,2,4,3,2,3,2,2.6,2.8
21–23,Male,Yes,Short Term 12,1 time,1–6 months ago,4,5,5,4,5,5,4,4,5,5,4.6,4.6
24 or above,Male,Yes,The Banshees of Inisherin,1 time,1–6 months ago,5,4,2,3,3,3,4,4,4,3,3.4,3.6
18–20,Female,Yes,Little Women,More than 3 times,1–6 months ago,3,3,5,4,5,5,5,4,4,5,4.0,4.6
Under 18,Female,Yes,Your Name,1 time,1–6 months ago,3,2,3,3,3,2,2,2,2,3,2.8,2.2
24 or above,Female,Yes,Sophie's Choice,2–3 times,Within last 1 month,3,3,3,3,3,4,3,3,5,5,3.0,4.0
18–20,Male,Yes,Titanic,2–3 times,1–6 months ago,5,5,4,3,3,4,4,3,4,4,4.0,3.8
21–23,Male,Yes,The Florida Project,More than 3 times,Within last 1 month,1,2,2,2,2,3,1,3,1,3,1.8,2.2
18–20,Male,Yes,Inception,2–3 times,Within last 1 month,5,3,5,3,4,3,3,3,5,5,4.0,3.8
Under 18,Prefer not to say,Yes,Anastasia,More than 3 times,Within last 1 month,3,4,3,3,3,2,3,3,3,3,3.2,2.8
24 or above,Male,Yes,An Affair to Remember,2–3 times,More than 6 months ago,5,5,3,4,5,3,4,5,4,5,4.4,4.2
21–23,Male,Yes,Whiplash,1 time,Within last 1 month,4,2,4,4,3,3,3,3,1,5,3.4,3.0
Under 18,Prefer not to say,Yes,Ratatouille,2–3 times,1–6 months ago,2,2,2,3,1,2,2,3,3,4,2.0,2.8
24 or above,Female,Yes,Roma,2–3 times,1–6 months ago,5,3,4,5,3,2,3,3,5,3,4.0,3.2
21–23,Female,Yes,The Pursuit of Happyness,2–3 times,1–6 months ago,4,5,5,4,4,5,5,2,5,2,4.4,3.8
Under 18,Female,Yes,Ratatouille,More than 3 times,Within last 1 month,4,3,3,4,4,4,4,3,3,3,3.6,3.4
24 or above,Male,Yes,Ordinary People,2–3 times,Within last 1 month,3,2,4,4,4,1,3,1,3,3,3.4,2.2
21–23,Female,Yes,The Father,2–3 times,1–6 months ago,4,4,5,5,5,4,4,3,3,3,4.6,3.4
21–23,Male,Yes,Portrait of a Lady on Fire,2–3 times,More than 6 months ago,5,5,3,4,4,4,4,5,5,4,4.2,4.4
21–23,Male,Yes,Bohemian Rhapsody,1 time,1–6 months ago,4,3,4,4,4,4,5,5,3,4,3.8,4.2
21–23,Female,Yes,The Shawshank Redemption,More than 3 times,1–6 months ago,5,4,5,4,5,3,4,5,5,3,4.6,4.0
24 or above,Male,Yes,The Shawshank Redemption,1 time,1–6 months ago,4,4,5,5,4,3,5,4,5,4,4.4,4.2
Under 18,Female,Yes,Tangled,More than 3 times,1–6 months ago,3,3,4,3,5,2,3,1,2,2,3.6,2.0
24 or above,Male,Yes,Brokeback Mountain,1 time,More than 6 months ago,3,3,2,4,2,3,2,3,3,3,2.8,2.8
24 or above,Male,Yes,Oppenheimer,2–3 times,Within last 1 month,4,5,3,5,4,4,4,4,5,5,4.2,4.4
24 or above,Female,Yes,The Elephant Man,1 time,More than 6 months ago,4,5,4,5,4,4,5,5,5,3,4.4,4.4
21–23,Female,Yes,The Imitation Game,2–3 times,More than 6 months ago,4,5,4,2,5,4,2,4,3,3,4.0,3.2
18–20,Male,Yes,The Breakfast Club,More than 3 times,More than 6 months ago,5,4,4,5,5,2,3,3,4,2,4.6,2.8
21–23,Male,Yes,A Silent Voice,More than 3 times,More than 6 months ago,5,3,3,4,3,3,3,3,4,4,3.6,3.4
Under 18,Male,Yes,Princess Mononoke,More than 3 times,Within last 1 month,3,4,3,4,3,4,2,3,4,5,3.4,3.6
24 or above,Female,Yes,Manchester by the Sea,2–3 times,More than 6 months ago,5,5,4,3,4,3,4,3,3,4,4.2,3.4
24 or above,Male,Yes,When Harry Met Sally,More than 3 times,1–6 months ago,3,4,4,3,1,2,3,5,2,3,3.0,3.0
18–20,Male,Yes,Titanic,2–3 times,Within last 1 month,3,4,3,3,3,4,4,4,5,4,3.2,4.2
21–23,Male,Yes,Short Term 12,2–3 times,1–6 months ago,4,5,4,5,3,4,3,4,3,3,4.2,3.4
18–20,Male,Yes,10 Things I Hate About You,1 time,Within last 1 month,5,4,5,3,4,4,4,4,4,4,4.2,4.0
24 or above,Male,Yes,Marriage Story,1 time,Within last 1 month,5,4,5,5,5,5,3,3,5,4,4.8,4.0
Under 18,Prefer not to say,Yes,Treasure Planet,More than 3 times,1–6 months ago,5,4,3,5,3,4,3,2,4,1,4.0,2.8
18–20,Female,Yes,Interstellar,More than 3 times,1–6 months ago,3,1,2,2,1,2,2,2,2,3,1.8,2.2
Under 18,Female,Yes,Brave,1 time,More than 6 months ago,4,4,5,5,4,5,4,4,4,5,4.4,4.4
18–20,Male,Yes,Inception,More than 3 times,Within last 1 month,3,4,5,4,2,3,4,5,3,3,3.6,3.6
21–23,Male,Yes,Portrait of a Lady on Fire,1 time,1–6 months ago,5,4,5,4,5,4,4,5,5,4,4.6,4.4
21–23,Male,Yes,Atonement,1 time,Within last 1 month,2,1,3,2,3,2,3,2,3,1,2.2,2.2
24 or above,Male,Yes,Forrest Gump,More than 3 times,1–6 months ago,2,2,2,3,3,2,1,2,1,2,2.4,1.6
21–23,Male,Yes,Boyhood,More than 3 times,More than 6 months ago,5,4,5,5,4,2,3,4,4,2,4.6,3.0
21–23,Male,Yes,Capernaum,2–3 times,More than 6 months ago,3,4,3,5,3,2,2,3,4,4,3.6,3.0
21–23,Female,Yes,The Kite Runner,2–3 times,1–6 months ago,4,4,3,4,4,3,3,2,4,2,3.8,2.8
21–23,Male,Yes,Moonlight,1 time,Within last 1 month,3,4,3,3,2,3,3,2,4,4,3.0,3.2
24 or above,Female,Yes,Brokeback Mountain,1 time,Within last 1 month,4,4,4,4,4,4,4,4,2,4,4.0,3.6
24 or above,Male,Yes,The Green Mile,2–3 times,1–6 months ago,5,5,5,3,3,5,5,4,4,3,4.2,4.2
21–23,Female,Yes,Spirited Away,1 time,Within last 1 month,4,4,3,4,5,4,3,3,4,3,4.0,3.4
21–23,Female,Yes,Good Will Hunting,2–3 times,1–6 months ago,4,4,2,2,4,2,1,2,3,2,3.2,2.0
24 or above,Female,Yes,The Hours,2–3 times,Within last 1 month,2,2,3,1,3,2,2,1,1,5,2.2,2.2
18–20,Male,Yes,Joker,1 time,More than 6 months ago,5,5,5,3,4,4,3,5,5,5,4.4,4.4
21–23,Female,Yes,The Farewell,2–3 times,1–6 months ago,3,5,3,2,2,4,3,1,2,3,3.0,2.6
21–23,Male,Yes,There Will Be Blood,1 time,More than 6 months ago,3,3,3,2,2,4,4,4,4,3,2.6,3.8
24 or above,Prefer not to say,Yes,All Quiet on the Western Front,2–3 times,1–6 months ago,2,1,2,1,3,2,1,1,1,3,1.8,1.6
18–20,Male,Yes,After We Collided,1 time,1–6 months ago,4,5,5,3,3,4,4,4,3,3,4.0,3.6
Under 18,Male,Yes,Porco Rosso,More than 3 times,1–6 months ago,4,5,5,4,4,3,3,4,3,4,4.4,3.4
21–23,Male,Yes,Pride and Prejudice,1 time,1–6 months ago,2,2,1,1,2,1,1,1,2,3,1.6,1.6
24 or above,Female,Yes,When Breath Becomes Air,More than 3 times,Within last 1 month,2,3,2,3,2,3,2,3,3,3,2.4,2.8
24 or above,Female,Yes,The Way We Were,1 time,More than 6 months ago,4,4,4,5,4,4,5,5,5,5,4.2,4.8
18–20,Female,Yes,Dear John,2–3 times,Within last 1 month,5,4,5,2,4,5,5,4,4,5,4.0,4.6
18–20,Male,Yes,Bring It On,1 time,1–6 months ago,3,4,4,4,2,5,4,4,3,3,3.4,3.8
18–20,Female,Yes,Love Rosie,2–3 times,Within last 1 month,5,5,5,4,4,4,5,4,3,5,4.6,4.2
21–23,Male,Yes,Moonlight,1 time,Within last 1 month,2,3,4,4,2,3,3,2,4,4,3.0,3.2
24 or above,Female,Yes,All Quiet on the Western Front,1 time,More than 6 months ago,3,5,4,3,4,5,3,4,5,3,3.8,4.0
24 or above,Male,Yes,Roma,1 time,Within last 1 month,2,1,1,2,2,1,1,1,2,1,1.6,1.2
